customer_id,age,income,region,education,satisfaction_level,signup_date,total_purchases,total_spent,avg_order_value,last_purchase_date,purchased,product_id,price,rating,first_name,last_name,phone_verified,loyalty_tier,days_since_signup,days_since_last_purchase,customer_numeric_id,customer_id_flag_suffix,region_label,loyalty_tier_label,gender_Female,gender_Male,gender_Other,category_Apparel,category_Beauty,category_Books,category_Electronics,category_Home & Kitchen,category_Sports,category_Toys,education_ordinal,satisfaction_ordinal,income_group,income_group_encoded,age_standard,income_standard,total_spent_standard,avg_order_value_standard,price_standard,purchase_per_day,income_log,income_sqrt,days_since_signup_reciprocal,total_spent_yeojohnson,income_boxcox,income_binned_quantile,frequent_buyer
CUST0001,56.0,60318.286,East,Bachelors,High,2024-08-02,2,92.34,46.17,2024-05-10,1,P017,336.17,3.8,Casey,Johnson,True,Silver,-62,22,1,0,1,3,False,True,False,False,True,False,False,False,False,False,1,2,High,2,0.5445923470150705,0.11672756482457565,-0.905257469996703,-0.5385250708510535,0.8744613225312807,-0.03225806451612903,11.007407165741755,245.59781350818253,-0.016129034859521753,-1.7001769327864247,0.16693202416281044,Q3,0
CUST0002,69.0,50942.844,West,Bachelors,High,2021-08-17,6,403.44,67.24,2023-12-26,1,P035,130.15,3.4,Morgan,Smith,False,Platinum,1019,158,2,0,4,2,False,True,False,False,False,False,False,False,True,False,1,2,Mid,1,1.24355969864566,-0.349494104553164,-0.018811293962435166,-0.3480295038614787,-0.5823081258933824,0.005888125613346418,10.838479207013437,225.70521482677356,0.0009813542592605078,0.30745979226552284,-0.3013581084082529,Q2,1
CUST0003,46.0,87312.96,West,High School,High,2021-02-21,2,73.2,36.6,2024-03-28,1,P036,322.89,4.0,Drew,Lee,True,Platinum,1196,65,3,0,4,2,False,True,False,False,False,False,True,False,False,False,0,2,Very High,3,0.006925153453078743,1.4591178197680614,-0.9597948528616849,-0.6250482116242017,0.7805583117795112,0.0016722408026755853,11.377265637405685,295.48766471715874,0.0008361203943468195,-1.9963626718484857,1.4118651811699987,Q4,0
CUST0004,32.0,53658.86,West,Bachelors,High,2022-07-18,4,116.02,38.67333333333333,2024-01-07,1,P038,242.83,2.9,Jordan,Clark,False,Gold,684,146,4,0,4,1,True,False,False,False,False,False,False,False,True,False,1,2,Mid,1,-0.7458089175337098,-0.2144321508258995,-0.8377838427112917,-0.6063030379701096,0.21445326352750413,0.005847953216374269,10.890420514956457,231.64382141555168,0.0014619882827194696,-1.4037279237964102,-0.16331921869287772,Q2,0
CUST0005,60.0,65194.12,Central,Bachelors,High,2022-05-17,2,82.28999999999999,41.144999999999996,2023-10-19,1,P030,384.12,4.8,Casey,Smith,False,Platinum,746,226,5,0,0,2,False,True,False,False,False,False,False,False,True,False,1,2,High,2,0.7596592244398673,0.35919287654947807,-0.9338938700903846,-0.5839565005673617,1.213516244635749,0.002680965147453083,11.08513989848783,255.3313925078544,0.0013404825557576064,-1.8477967894895413,0.4020839316861237,Q3,0
CUST0006,25.0,69972.73,West,PhD,High,2022-04-03,3,374.11,124.70333333333333,2023-09-14,1,P022,414.28,2.6,Sam,Wilson,True,Silver,790,261,6,0,4,3,True,False,False,False,False,False,False,False,False,True,3,2,Very High,3,-1.122175953027104,0.596823436421232,-0.10238399194727946,0.17150112093416778,1.4267779015840443,0.0037974683544303796,11.155875164879903,264.52359063040103,0.0012658227687870535,0.1993421963528946,0.6276773491834136,Q4,0
CUST0007,38.0,23569.09,North,High School,Medium,2021-10-13,3,533.1800000000001,177.7266666666667,2024-04-15,0,P016,16.58,3.5,Casey,Wilson,True,Gold,962,47,7,0,2,1,False,False,True,False,False,True,False,False,False,False,0,1,Low,0,-0.4232086013965147,-1.7107352371862254,0.35086895958525355,0.6508893481297331,-1.3853627140770004,0.0031185031185031187,10.067733814336124,153.522278513576,0.0010395010286954156,0.7119566427856142,-1.848790771213144,Q1,0
CUST0008,56.0,102100.6,West,Bachelors,High,2021-07-29,5,281.90000000000003,70.47500000000001,2024-02-23,1,P005,228.93,4.7,Taylor,Moore,False,Silver,1038,99,8,0,4,3,False,True,False,False,False,False,False,False,False,True,1,2,Very High,3,0.5445923470150705,2.1944770921049854,-0.3651265245481146,-0.3187816083127707,0.11616622667135994,0.004816955684007707,11.533723674940841,319.5318450483457,0.0009633911275203168,-0.20085256634819323,2.045523579834347,Q4,1
CUST0009,36.0,47245.74,Central,Bachelors,Medium,2024-10-17,2,182.75,91.375,2023-04-30,1,P034,369.95,3.9,Sam,Davis,True,Bronze,-138,398,9,0,0,0,False,True,False,False,False,False,False,False,True,False,1,1,Mid,1,-0.5307420401089131,-0.5333435698629722,-0.6476438448753331,-0.1298230250150909,1.113320035121248,-0.014492753623188406,10.76313893583265,217.36085204102417,-0.00724637733669401,-0.7980411369640293,-0.4927235278632647,Q2,0
CUST0010,40.0,63902.2,West,Bachelors,Low,2024-01-22,3,326.17,108.72333333333334,2024-03-25,1,P034,369.95,3.9,Taylor,Johnson,False,Bronze,131,68,10,0,4,0,False,True,False,False,False,False,False,False,True,False,1,0,High,2,-0.3156751626841164,0.29494832156183143,-0.2389838944837076,0.027024653896037535,1.113320035121248,0.022900763358778626,11.065124717359014,252.7888446905836,0.007633587203542961,0.004401824793776326,0.34028565859304666,Q3,0
CUST0011,28.0,66530.48,East,Bachelors,Medium,2021-06-28,6,443.85,73.97500000000001,2023-10-27,1,P036,322.89,4.0,Jamie,Moore,False,Silver,1069,218,11,0,1,3,True,False,False,False,False,False,True,False,False,False,1,1,High,2,-0.9608757949585066,0.4256473423858229,0.09633267895156285,-0.28713782642081476,0.7805583117795112,0.005612722170252572,11.105430498091991,257.93503057940774,0.0009354536862913594,0.44503714795894866,0.46563804715823304,Q3,1
CUST0012,45.8,40333.89,East,Bachelors,Medium,2024-04-24,4,251.2,62.8,2024-02-02,1,P021,57.84,4.5,Casey,Wilson,True,Gold,38,120,12,0,1,1,False,True,False,False,True,False,False,False,False,False,1,1,Low,0,-0.003828190418161247,-0.8770558178282978,-0.45260289100344103,-0.38817190146155994,-1.093612847840705,0.10526315789473684,10.60497213020732,200.83299031782602,0.026315782548478276,-0.36157162187453107,-0.8625733518227751,Q1,0
CUST0013,41.0,88245.65,Central,Bachelors,Very High,2023-05-15,3,458.28999999999996,152.76333333333332,2024-03-16,1,P030,384.12,4.8,Casey,Lee,True,Bronze,383,77,13,0,0,0,False,True,False,False,False,False,False,False,True,False,1,3,Very High,3,-0.2619084433279172,1.5054985972089456,0.13747791450905167,0.4251938409022489,1.213516244635749,0.007832898172323759,11.387891013735087,297.06169392905576,0.002610965989269818,0.4913887789453886,1.4526999546482484,Q4,0
CUST0014,53.0,52833.41000000001,North,Masters,High,2021-03-07,4,266.92,66.73,2023-11-20,1,P038,242.83,2.9,Drew,Lee,False,Bronze,1182,194,14,0,2,0,False,True,False,False,False,False,False,False,True,False,2,2,Mid,1,0.38329218894647304,-0.2554801010972414,-0.40781043234944325,-0.3526404549371636,0.21445326352750413,0.00338409475465313,10.874917961972619,229.85519354584966,0.0008460236815057219,-0.27713135081459195,-0.20505448862957915,Q2,0
CUST-0015A,57.0,51157.49,North,Bachelors,Very High,2021-03-03,3,262.24,87.41333333333334,2024-01-01,1,P035,130.15,3.4,Jamie,Miller,True,Bronze,1186,152,15,1,2,0,True,False,False,False,False,False,False,False,True,False,1,3,Mid,1,0.5983590663712698,-0.33882019537157504,-0.42114559179605326,-0.16564077242327147,-0.5823081258933824,0.002529510961214165,10.842683740010909,226.18021575725848,0.0008431703132953599,-0.301777191074337,-0.2903730861967573,Q2,0
CUST0016,41.0,57493.14,South,Bachelors,High,2021-07-11,5,341.23,68.24600000000001,2023-09-27,1,P028,473.1,3.0,Alex,Garcia,True,Bronze,1056,248,16,0,3,0,False,True,False,False,False,False,False,False,True,False,1,2,High,2,-0.2619084433279172,-0.023761201929657763,-0.19607203523884717,-0.33893417683767635,1.842694700711987,0.004734848484848485,10.959438308548476,239.7772716501712,0.000946969688002181,0.06835625175944546,0.028181616721970955,Q3,1
CUST0017,20.0,68756.54,Central,Bachelors,Medium,2022-03-24,3,140.94,46.98,2024-04-20,1,P026,97.94,2.5,Avery,Johnson,False,Platinum,800,42,17,0,0,2,True,False,False,False,False,False,True,False,False,False,1,1,High,2,-1.3910095498081,0.5363447803663479,-0.7667769680511375,-0.5312017956132009,-0.8100653530254978,0.00375,11.138341682242476,262.21468303662937,0.0012499999843750003,-1.1468977443048947,0.5706948706177418,Q3,0
CUST0018,39.0,55194.37,West,Bachelors,Medium,2022-04-22,4,328.0,82.0,2024-01-20,1,P027,171.78,3.4,Alex,Johnson,True,Gold,771,133,18,0,4,1,True,False,False,False,False,False,False,False,False,True,1,1,Mid,1,-0.36944188204031553,-0.13807436038293014,-0.23376950521291784,-0.2145831550828301,-0.2879419860141536,0.005188067444876783,10.918634351935737,234.9348207482237,0.0012970168443966687,0.012317742187223427,-0.08617090153780098,Q2,0
CUST0019,19.0,70874.74,Central,Bachelors,High,2023-11-01,6,536.79,89.46499999999999,2024-05-23,1,P040,147.94,4.8,Alex,Clark,True,Gold,213,9,19,0,0,1,False,True,False,False,False,False,False,True,False,False,1,2,Very High,3,-1.4447762691642991,0.641678559837858,0.3611552684746255,-0.1470914888475584,-0.4565148607372095,0.028169014084507043,11.168683481892655,266.2231019276877,0.004694835460336363,0.7218454506766694,0.6697553601538616,Q4,1
